pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
pidgey,hitmonchan,-8,mirror move,supersonic,mirror move,super fang,psywave,counter,fissure,dizzy punch,false
vileplume,cloyster,28,stun spore,slash,high jump kick,bone club,wing attack,lick,take down,sharpen,true
doduo,meowth,74,meditate,recover,stun spore,spike cannon,double slap,rolling kick,constrict,poison sting,true
hypno,magmar,-14,sleep powder,sand attack,sonic boom,aurora beam,ice beam,comet punch,double-edge,fire punch,false
tangela,omastar,-13,mist,hydro pump,slam,absorb,haze,kinesis,guillotine,clamp,true
kingler,muk,-61,thrash,absorb,strength,horn drill,vice grip,constrict,vice grip,recover,false
primeape,machop,38,waterfall,soft-boiled,barrage,cut,rest,growl,focus energy,double team,true
articuno,seaking,-52,vine whip,hyper beam,rolling kick,guillotine,growl,stomp,bind,flash,false
paras,mr. mime,-27,whirlwind,barrage,high jump kick,bubble,seismic toss,bide,petal dance,leech life,false
dragonite,blastoise,-24,solar beam,leech life,stun spore,gust,struggle,solar beam,smog,low kick,false
nidoran♀,weezing,-89,leech life,slash,rage,stomp,smog,mega punch,acid armor,smokescreen,false
mewtwo,metapod,-38,mega drain,solar beam,light screen,fury swipes,sharpen,double slap,fury swipes,night shade,true
bulbasaur,exeggutor,-15,submission,thrash,egg bomb,ice punch,minimize,fire blast,self-destruct,haze,false
hitmonlee,dragonite,36,toxic,headbutt,ember,leer,pay day,minimize,low kick,counter,true
slowbro,seel,9,leech life,smokescreen,lovely kiss,rage,glare,light screen,swift,psywave,true
metapod,rattata,-85,amnesia,flash,dig,lovely kiss,recover,sludge,hyper fang,pin missile,false
cloyster,magnemite,-64,thunder punch,leech seed,gust,sonic boom,harden,cut,kinesis,bubble,false
kakuna,rapidash,6,glare,explosion,poison sting,amnesia,bubble,amnesia,razor wind,poison sting,false
wartortle,slowpoke,86,tri attack,pin missile,tri attack,body slam,high jump kick,bubble,struggle,skull bash,true
slowbro,pikachu,-47,growth,counter,cut,hyper beam,rest,thunder,kinesis,seismic toss,false
krabby,poliwag,35,sing,barrage,rock slide,bind,constrict,bite,soft-boiled,skull bash,true
nidorina,abra,80,minimize,razor wind,fissure,bonemerang,sonic boom,earthquake,sky attack,poison sting,true
ninetales,farfetch'd,35,lick,constrict,kinesis,strength,wing attack,mimic,slash,leer,true
kakuna,tentacruel,-88,waterfall,sonic boom,mega punch,horn drill,recover,sky attack,bonemerang,bone club,false
magmar,kangaskhan,-8,surf,pound,rock slide,fire blast,surf,substitute,thunder shock,flamethrower,false
kabuto,meowth,-35,disable,poison gas,fury attack,solar beam,double-edge,soft-boiled,slam,leech seed,false
bulbasaur,fearow,-17,pay day,ice beam,splash,low kick,teleport,cut,metronome,bonemerang,false
drowzee,tentacool,46,ice beam,aurora beam,meditate,thunder shock,poison sting,bubble beam,sleep powder,low kick,true
clefable,ivysaur,-29,recover,constrict,tackle,fissure,counter,pin missile,peck,minimize,false
electrode,pinsir,-51,tri attack,screech,conversion,blizzard,sand attack,dizzy punch,toxic,cut,false
horsea,abra,72,explosion,acid armor,spike cannon,flamethrower,slash,rest,low kick,whirlwind,true
porygon,golduck,18,petal dance,self-destruct,thunder wave,lick,sharpen,kinesis,guillotine,thrash,true
vulpix,sandshrew,9,recover,thunder shock,quick attack,twineedle,whirlwind,slash,egg bomb,soft-boiled,false
weepinbell,drowzee,-13,reflect,dig,razor leaf,bite,thunderbolt,psychic,dizzy punch,defense curl,false
snorlax,bellsprout,-24,comet punch,bide,hydro pump,rock slide,horn drill,mega kick,mist,withdraw,false
omastar,abra,-3,fire punch,vine whip,sludge,solar beam,pay day,thunderbolt,screech,whirlwind,true
golem,gastly,-47,clamp,roar,whirlwind,tail whip,sand attack,guillotine,vice grip,mega kick,false
lapras,venomoth,59,rock slide,vice grip,razor wind,thunder,submission,gust,thunder shock,double-edge,true
dodrio,koffing,-40,peck,barrage,psychic,sky attack,bide,thunder wave,haze,slam,true
ekans,paras,56,fly,body slam,dig,stomp,horn attack,fissure,defense curl,splash,true
gastly,charizard,-52,reflect,splash,pound,sleep powder,thunder punch,stun spore,fly,super fang,false
bellsprout,geodude,28,bonemerang,thunder,smog,fire punch,body slam,meditate,flash,confusion,true
pidgeot,rhyhorn,-3,karate chop,vine whip,egg bomb,rolling kick,mega kick,bide,psychic,rage,false
poliwag,kadabra,-55,dizzy punch,double team,fire spin,submission,acid armor,psybeam,disable,twineedle,false
kingler,tangela,-35,amnesia,bubble beam,jump kick,twineedle,leer,conversion,swift,peck,false
goldeen,koffing,34,tackle,thunderbolt,petal dance,low kick,flamethrower,low kick,absorb,fissure,true
porygon,primeape,-13,double team,wing attack,aurora beam,horn drill,mirror move,scratch,pay day,submission,false
goldeen,raticate,-49,double-edge,thrash,splash,barrage,leech seed,acid,dragon rage,mirror move,false
vaporeon,alakazam,-23,splash,cut,submission,rock slide,acid,supersonic,poison sting,poison gas,false
dragonair,chansey,-72,mimic,fly,fly,growth,night shade,low kick,growth,mist,false
beedrill,dragonite,-42,bubble beam,sharpen,headbutt,confusion,smokescreen,ice beam,petal dance,leech life,false
machop,cloyster,10,psywave,waterfall,struggle,dizzy punch,super fang,rolling kick,constrict,rolling kick,true
machoke,golbat,-14,double slap,mirror move,thunder wave,toxic,smokescreen,focus energy,poison powder,fly,true
bulbasaur,cloyster,15,skull bash,poison gas,sharpen,super fang,conversion,recover,slam,sonic boom,true
nidoqueen,growlithe,-7,bubble,thunder shock,horn drill,mega drain,stun spore,fire spin,sleep powder,bubble,true
cloyster,nidorino,51,thunder,high jump kick,take down,explosion,comet punch,razor wind,reflect,horn drill,true
charmeleon,geodude,-8,hyper fang,horn drill,pound,egg bomb,sleep powder,sludge,fly,sludge,false
meowth,farfetch'd,-38,mirror move,rolling kick,mirror move,rest,sleep powder,jump kick,slam,guillotine,false
spearow,porygon,-54,reflect,drill peck,poison powder,gust,sharpen,barrier,sing,haze,false
victreebel,moltres,-19,constrict,high jump kick,vine whip,conversion,teleport,glare,flamethrower,barrage,false
bulbasaur,weezing,77,dizzy punch,disable,razor wind,focus energy,jump kick,solar beam,fly,submission,true
persian,nidoran♂,75,metronome,thunderbolt,rock throw,fire spin,focus energy,poison sting,super fang,flamethrower,true
golduck,chansey,-14,barrage,bubble,hypnosis,earthquake,fury swipes,petal dance,bubble beam,focus energy,false
marowak,weedle,25,constrict,vice grip,bind,thunder,fire punch,amnesia,body slam,self-destruct,true
nidorina,moltres,43,earthquake,confusion,body slam,sonic boom,psybeam,drill peck,fury swipes,fury attack,true
ivysaur,zapdos,-34,sleep powder,clamp,quick attack,pin missile,bite,fissure,double kick,constrict,false
eevee,tangela,33,flamethrower,bone club,super fang,stun spore,double-edge,sleep powder,guillotine,light screen,true
clefable,hypno,-2,submission,screech,soft-boiled,dream eater,rock throw,focus energy,sky attack,rock throw,false
beedrill,nidorina,-50,sky attack,confusion,rest,mega drain,mist,high jump kick,pound,ice beam,false
machoke,machoke,22,explosion,explosion,hypnosis,rock slide,pound,sludge,tail whip,thunderbolt,true
nidorino,exeggcute,-87,smokescreen,growth,low kick,thunder,slam,mega drain,roar,flash,false
butterfree,pidgey,-11,barrier,rock throw,sharpen,egg bomb,vice grip,guillotine,light screen,swift,false
weezing,eevee,36,hypnosis,constrict,low kick,acid armor,tackle,lovely kiss,leech life,skull bash,true
magikarp,farfetch'd,-28,haze,reflect,explosion,rolling kick,egg bomb,glare,earthquake,blizzard,false
pidgeot,starmie,-32,fury swipes,leech life,crabhammer,disable,vice grip,swift,drill peck,growth,false
dragonite,golbat,11,gust,petal dance,gust,counter,substitute,sonic boom,super fang,ember,true
tauros,seel,14,growth,peck,razor wind,leech life,tri attack,spore,hydro pump,light screen,true
charizard,poliwag,-14,psybeam,poison sting,fury attack,slash,fly,rock throw,slam,screech,false
charmeleon,sandshrew,48,thrash,psybeam,transform,flash,rock throw,thunder shock,bite,minimize,true
magneton,electrode,-1,bonemerang,psychic,petal dance,vine whip,headbutt,comet punch,dragon rage,tri attack,true
magmar,rattata,-22,dream eater,struggle,hyper fang,confusion,horn drill,double-edge,vine whip,ice punch,false
ekans,magnemite,-78,splash,gust,leech life,haze,thrash,fire spin,confuse ray,string shot,false
koffing,dewgong,-60,spike cannon,mist,psychic,rock throw,sky attack,pin missile,fury swipes,absorb,false
dewgong,zubat,17,smokescreen,fly,sleep powder,thunder,pin missile,hyper fang,withdraw,fly,true
charizard,raticate,-38,double kick,thunder shock,growth,sleep powder,gust,conversion,bubble beam,spore,false
gastly,omanyte,-5,sky attack,solar beam,water gun,hydro pump,mimic,reflect,mist,mega drain,true
hypno,meowth,74,mist,crabhammer,aurora beam,poison powder,swift,sky attack,bubble,fury attack,true
alakazam,ivysaur,-33,flash,body slam,bite,fire punch,dig,take down,swords dance,peck,false
machop,dugtrio,13,dragon rage,barrage,guillotine,solar beam,fury attack,spore,horn attack,rock slide,false
blastoise,poliwag,42,quick attack,sharpen,transform,dig,dig,defense curl,seismic toss,flash,true
voltorb,persian,22,confuse ray,sand attack,sharpen,razor leaf,karate chop,tackle,karate chop,double kick,false
eevee,psyduck,12,substitute,bubble,lick,horn drill,agility,quick attack,lick,disable,true
weepinbell,haunter,18,minimize,super fang,pin missile,focus energy,strength,substitute,fire spin,blizzard,false
slowpoke,voltorb,79,rock slide,withdraw,cut,struggle,substitute,agility,rock throw,self-destruct,true
seadra,nidoqueen,23,acid,psychic,acid armor,thunder punch,hydro pump,disable,solar beam,stun spore,true
flareon,staryu,-48,submission,substitute,bone club,smog,tail whip,sing,swords dance,pay day,true
aerodactyl,weepinbell,21,mimic,sleep powder,substitute,bonemerang,double kick,guillotine,mega drain,solar beam,false
exeggcute,dewgong,-5,hypnosis,recover,substitute,pound,leer,lovely kiss,fury swipes,poison powder,false
poliwag,beedrill,-30,substitute,hyper fang,barrier,spore,jump kick,low kick,mega kick,bide,false
lickitung,staryu,58,petal dance,earthquake,kinesis,poison gas,leer,conversion,karate chop,confuse ray,true
cloyster,zapdos,-12,fury attack,splash,hypnosis,acid,thunder punch,gust,thunderbolt,fire spin,false
zapdos,grimer,89,tail whip,horn drill,slam,fly,solar beam,meditate,ice punch,fire blast,true
tangela,ninetales,-35,double team,sleep powder,focus energy,take down,metronome,sky attack,sleep powder,pay day,false
squirtle,parasect,56,growth,string shot,slash,kinesis,body slam,mega kick,harden,headbutt,true
mr. mime,chansey,6,mist,confuse ray,screech,surf,bonemerang,egg bomb,fissure,amnesia,false
scyther,zapdos,-50,bonemerang,vine whip,scratch,ember,aurora beam,substitute,constrict,psychic,false
raichu,seadra,-22,aurora beam,water gun,mega kick,bubble,kinesis,sharpen,self-destruct,barrage,false
tauros,wigglytuff,-42,waterfall,submission,counter,leech life,blizzard,jump kick,take down,dig,false
paras,parasect,-66,headbutt,roar,meditate,lovely kiss,horn drill,thunder wave,thunderbolt,string shot,false
nidoran♂,rapidash,22,withdraw,swords dance,smokescreen,meditate,dig,dream eater,struggle,recover,false
mr. mime,dragonite,-29,struggle,submission,ice beam,bone club,ice beam,minimize,rage,thunder wave,false
oddish,marowak,-72,bubble beam,twineedle,mega punch,confuse ray,toxic,aurora beam,counter,barrage,false
moltres,koffing,20,karate chop,counter,dizzy punch,fire punch,transform,string shot,supersonic,dragon rage,true
eevee,dratini,-15,splash,super fang,horn attack,thrash,reflect,mimic,dig,fly,false
gyarados,dragonite,8,ice punch,super fang,horn attack,bone club,bubble beam,disable,solar beam,agility,true
kakuna,tauros,16,smog,waterfall,whirlwind,haze,lovely kiss,mega punch,poison powder,slash,true
staryu,machop,-25,thunder shock,ice beam,growl,withdraw,tackle,absorb,wing attack,lick,false
moltres,meowth,38,skull bash,take down,thunderbolt,smokescreen,fire blast,pin missile,whirlwind,psychic,true
blastoise,tauros,-12,disable,constrict,growth,agility,mega drain,mega drain,psywave,slam,false
goldeen,arcanine,-49,mirror move,explosion,water gun,smog,skull bash,tackle,kinesis,double slap,false
marowak,golbat,-45,constrict,super fang,constrict,psybeam,supersonic,solar beam,swords dance,thunder punch,false
venusaur,seel,6,confusion,absorb,supersonic,lick,super fang,whirlwind,psywave,lick,true
slowpoke,dewgong,38,razor leaf,solar beam,clamp,pound,haze,ice punch,withdraw,super fang,true
vaporeon,raichu,-43,sand attack,ice punch,thunder shock,tail whip,spore,earthquake,ember,spore,false
ninetales,geodude,56,thunderbolt,pin missile,dig,surf,flamethrower,mega kick,stun spore,bide,true
